method_id,checkpoint_role,epoch,latent_name,count,mean_l2_norm,mean_dimension_std,median_dimension_std,total_variance,effective_rank,rank_95,top_eigenvalue_ratio
dvn_k5_w012,lfp_best,11,encoder_obs,17595,26.53450712016854,1.2424665172130556,1.1865275354225402,891.8258553123258,4.512860883599308,5,0.3623447888545406
dvn_k5_w012,lfp_best,11,encoder_future,49980,26.550360838434745,1.2449939855227512,1.1888344891410743,895.3494292069295,4.519844198268028,5,0.36040320792895536
dvn_k5_w012,lfp_best,11,policy_z_obs,17595,2260.290612659158,50.773550992217466,47.234267050809954,1533601.556664561,5.062775607775188,6,0.4419148317668361
dvn_k5_w012,lfp_best,11,policy_z_goal,17595,3422.3086178221974,129.6546347364846,113.14997567986006,11754414.329955518,1.6057774975253216,2,0.887935610003359
dvn_k3_noreg,action_best,3,encoder_obs,17595,45.27009845267697,1.6413642580890953,1.1842951131745476,2485.470862080844,2.6327470128452193,3,0.6371215600247722
dvn_k3_noreg,action_best,3,encoder_future,49980,45.48638044463026,1.6482710805861305,1.1839586602688825,2507.075489387413,2.6171351173044397,3,0.6404542447748779
dvn_k3_noreg,action_best,3,policy_z_obs,17595,127.57963218050028,4.070131636918143,3.5935335193496853,10407.202880261902,5.442926963485754,6,0.39744679161401264
dvn_k3_noreg,action_best,3,policy_z_goal,17595,202.82824251630115,9.10301549525276,7.1729461157913015,63019.42659462489,2.3022845430855394,3,0.739819506073137
dvn_k3_noreg,lfp_best,13,encoder_obs,17595,34.099050162580426,5.135361889182588,4.739592688408384,19516.478320302533,1.0226115012822854,1,0.9969569407721028
dvn_k3_noreg,lfp_best,13,encoder_future,49980,34.24736141892922,5.264388154112126,4.855760855669548,20512.867650837197,1.0219460154433886,1,0.997064816115662
dvn_k3_noreg,lfp_best,13,policy_z_obs,17595,3257.3952480714493,89.0410917588701,77.33547332386784,5315345.160210623,2.169815478995924,2,0.7084644244782965
dvn_k3_noreg,lfp_best,13,policy_z_goal,17595,4425.400175272254,176.15538508339273,166.63999156478664,19933245.335007586,2.5769352367471443,3,0.5614371752309326
dvn_k3_w012_wolossdyn,action_best,5,encoder_obs,17595,23.490633792501708,0.9872890980163598,0.9566394092340964,553.2102902466866,25.08765926666629,27,0.09819316887267687
dvn_k3_w012_wolossdyn,action_best,5,encoder_future,49980,23.48110009655867,0.9870053672347887,0.9570475232444764,552.8621551317809,25.10425407491174,27,0.09768335140853536
dvn_k3_w012_wolossdyn,action_best,5,policy_z_obs,17595,160.60897237014584,5.393787505973556,4.722761517572178,18826.43570448195,5.773630330426519,11,0.4879201489616388
dvn_k3_w012_wolossdyn,action_best,5,policy_z_goal,17595,422.216924964761,19.12900031469037,15.6488297646403,259695.65299073092,2.705359643389516,3,0.5979594807796251
dvn_k3_w012_wolossdyn,lfp_best,2,encoder_obs,17595,28.691504171545905,3.421578745367327,3.1946061156004886,7554.422637475949,1.6351965835474953,5,0.9251275190909928
dvn_k3_w012_wolossdyn,lfp_best,2,encoder_future,49980,28.105204663448298,2.9932063135205897,2.7830270590609745,5697.21951583764,1.8649378742245322,8,0.9006128309744666
